fid,nro,euref_x,euref_y,trauma_saatto_enn_count,trauma_saatto_enn_sum
1,2431,60000,6690000,5,0
2,2566,60000,6695000,17,0
3,2701,60000,6700000,12,0
4,2836,60000,6705000,3,0
5,2162,65000,6680000,3,0
6,2297,65000,6685000,16,0
7,2432,65000,6690000,25,0
8,2567,65000,6695000,25,0
9,2702,65000,6700000,25,0
10,2837,65000,6705000,25,0
11,2972,65000,6710000,20,0
12,3107,65000,6715000,13,0
13,3242,65000,6720000,6,0
14,3377,65000,6725000,,
15,2028,70000,6675000,13,0
16,2163,70000,6680000,24,0
17,2298,70000,6685000,25,0
18,2433,70000,6690000,25,0
19,2568,70000,6695000,25,0
20,2703,70000,6700000,25,0
21,2838,70000,6705000,25,0
22,2973,70000,6710000,25,0
23,3108,70000,6715000,25,0
24,3243,70000,6720000,25,0
25,3378,70000,6725000,24,0
26,3513,70000,6730000,18,0
27,3648,70000,6735000,12,0
28,3783,70000,6740000,5,0
29,1759,75000,6665000,10,0
30,1894,75000,6670000,23,0
31,2029,75000,6675000,25,0
32,2164,75000,6680000,25,0
33,2299,75000,6685000,25,0
34,2434,75000,6690000,25,0
35,2569,75000,6695000,25,0
36,2704,75000,6700000,25,0
37,2839,75000,6705000,25,0
38,2974,75000,6710000,25,0
39,3109,75000,6715000,25,0
40,3244,75000,6720000,25,0
41,3379,75000,6725000,25,0
42,3514,75000,6730000,25,0
43,3649,75000,6735000,25,0
44,3784,75000,6740000,25,0
45,3919,75000,6745000,2,0
46,1490,80000,6655000,7,0
47,1625,80000,6660000,21,0
48,1760,80000,6665000,25,0
49,1895,80000,6670000,25,0
50,2030,80000,6675000,25,0
51,2165,80000,6680000,25,0
52,2300,80000,6685000,25,0
53,2435,80000,6690000,25,0
54,2570,80000,6695000,25,0
55,2705,80000,6700000,25,0
56,2840,80000,6705000,25,0
57,2975,80000,6710000,25,0
58,3110,80000,6715000,25,0
59,3245,80000,6720000,25,0
60,3380,80000,6725000,25,0
61,3515,80000,6730000,25,0
62,3650,80000,6735000,25,0
63,3785,80000,6740000,25,0
64,3920,80000,6745000,8,0
65,1221,85000,6645000,4,0
66,1356,85000,6650000,19,0
67,1491,85000,6655000,25,0
68,1626,85000,6660000,25,0
69,1761,85000,6665000,25,0
70,1896,85000,6670000,25,0
71,2031,85000,6675000,25,0
72,2166,85000,6680000,25,0
73,2301,85000,6685000,25,0
74,2436,85000,6690000,25,0
75,2571,85000,6695000,25,0
76,2706,85000,6700000,25,0
77,2841,85000,6705000,25,0
78,2976,85000,6710000,25,0
79,3111,85000,6715000,25,0
80,3246,85000,6720000,25,0
81,3381,85000,6725000,25,0
82,3516,85000,6730000,25,0
83,3651,85000,6735000,25,0
84,3786,85000,6740000,25,0
85,3921,85000,6745000,17,0
86,952,90000,6635000,2,0
87,1087,90000,6640000,15,0
88,1222,90000,6645000,25,0
89,1357,90000,6650000,25,0
90,1492,90000,6655000,25,0
91,1627,90000,6660000,25,0
92,1762,90000,6665000,25,0
93,1897,90000,6670000,25,0
94,2032,90000,6675000,25,0
95,2167,90000,6680000,25,0
96,2302,90000,6685000,25,0
97,2437,90000,6690000,25,0
98,2572,90000,6695000,25,0
99,2707,90000,6700000,25,0
100,2842,90000,6705000,25,0
101,2977,90000,6710000,25,0
102,3112,90000,6715000,25,0
103,3247,90000,6720000,25,0
104,3382,90000,6725000,25,0
105,3517,90000,6730000,25,0
106,3652,90000,6735000,25,0
107,3787,90000,6740000,25,0
108,3922,90000,6745000,23,0
109,4057,90000,6750000,,
110,818,95000,6630000,11,0
111,953,95000,6635000,24,0
112,1088,95000,6640000,25,0
113,1223,95000,6645000,25,0
114,1358,95000,6650000,25,0
115,1493,95000,6655000,25,0
116,1628,95000,6660000,25,0
117,1763,95000,6665000,25,0
118,1898,95000,6670000,25,0
119,2033,95000,6675000,25,0
120,2168,95000,6680000,25,0
121,2303,95000,6685000,25,0
122,2438,95000,6690000,25,0
123,2573,95000,6695000,25,0
124,2708,95000,6700000,25,0
125,2843,95000,6705000,25,0
126,2978,95000,6710000,25,0
127,3113,95000,6715000,25,0
128,3248,95000,6720000,25,0
129,3383,95000,6725000,25,0
130,3518,95000,6730000,25,0
131,3653,95000,6735000,25,0
132,3788,95000,6740000,25,0
133,3923,95000,6745000,25,0
134,4058,95000,6750000,5,0
135,684,100000,6625000,20,0
136,819,100000,6630000,25,0
137,954,100000,6635000,25,0
138,1089,100000,6640000,25,0
139,1224,100000,6645000,25,0
140,1359,100000,6650000,25,0
141,1494,100000,6655000,25,0
142,1629,100000,6660000,25,0
143,1764,100000,6665000,25,0
144,1899,100000,6670000,25,0
145,2034,100000,6675000,25,0
146,2169,100000,6680000,25,0
147,2304,100000,6685000,25,0
148,2439,100000,6690000,25,0
149,2574,100000,6695000,25,0
150,2709,100000,6700000,25,0
151,2844,100000,6705000,25,0
152,2979,100000,6710000,25,0
153,3114,100000,6715000,25,0
154,3249,100000,6720000,25,0
155,3384,100000,6725000,25,0
156,3519,100000,6730000,25,0
157,3654,100000,6735000,25,0
158,3789,100000,6740000,25,0
159,3924,100000,6745000,25,0
160,4059,100000,6750000,5,0
161,550,105000,6620000,15,0
162,685,105000,6625000,25,0
163,820,105000,6630000,25,0
164,955,105000,6635000,25,0
165,1090,105000,6640000,25,0
166,1225,105000,6645000,25,0
167,1360,105000,6650000,25,0
168,1495,105000,6655000,25,0
169,1630,105000,6660000,25,0
170,1765,105000,6665000,25,0
171,1900,105000,6670000,25,0
172,2035,105000,6675000,25,0
173,2170,105000,6680000,25,0
174,2305,105000,6685000,25,0
175,2440,105000,6690000,25,0
176,2575,105000,6695000,25,0
177,2710,105000,6700000,25,0
178,2845,105000,6705000,25,0
179,2980,105000,6710000,25,0
180,3115,105000,6715000,25,0
181,3250,105000,6720000,25,0
182,3385,105000,6725000,25,0
183,3520,105000,6730000,25,0
184,3655,105000,6735000,25,0
185,3790,105000,6740000,25,0
186,3925,105000,6745000,25,0
187,4060,105000,6750000,6,0
188,416,110000,6615000,15,0
189,551,110000,6620000,25,0
190,686,110000,6625000,25,0
191,821,110000,6630000,25,0
192,956,110000,6635000,25,0
193,1091,110000,6640000,25,0
194,1226,110000,6645000,25,0
195,1361,110000,6650000,25,0
196,1496,110000,6655000,25,0
197,1631,110000,6660000,25,0
198,1766,110000,6665000,25,0
199,1901,110000,6670000,25,0
200,2036,110000,6675000,25,0
201,2171,110000,6680000,25,0
202,2306,110000,6685000,25,0
203,2441,110000,6690000,25,0
204,2576,110000,6695000,25,0
205,2711,110000,6700000,25,0
206,2846,110000,6705000,25,0
207,2981,110000,6710000,25,0
208,3116,110000,6715000,25,0
209,3251,110000,6720000,25,0
210,3386,110000,6725000,25,0
211,3521,110000,6730000,25,0
212,3656,110000,6735000,25,0
213,3791,110000,6740000,25,0
214,3926,110000,6745000,25,0
215,4061,110000,6750000,10,0
216,282,115000,6610000,15,0
217,417,115000,6615000,25,0
218,552,115000,6620000,25,0
219,687,115000,6625000,25,0
220,822,115000,6630000,25,0
221,957,115000,6635000,25,0
222,1092,115000,6640000,25,0
223,1227,115000,6645000,25,0
224,1362,115000,6650000,25,0
225,1497,115000,6655000,25,0
226,1632,115000,6660000,25,0
227,1767,115000,6665000,25,0
228,1902,115000,6670000,25,0
229,2037,115000,6675000,25,0
230,2172,115000,6680000,25,0
231,2307,115000,6685000,25,0
232,2442,115000,6690000,25,0
233,2577,115000,6695000,25,0
234,2712,115000,6700000,25,0
235,2847,115000,6705000,25,0
236,2982,115000,6710000,25,0
237,3117,115000,6715000,25,0
238,3252,115000,6720000,25,0
239,3387,115000,6725000,25,0
240,3522,115000,6730000,25,0
241,3657,115000,6735000,25,0
242,3792,115000,6740000,25,0
243,3927,115000,6745000,25,0
244,4062,115000,6750000,10,0
245,148,120000,6605000,9,0
246,283,120000,6610000,25,0
247,418,120000,6615000,25,0
248,553,120000,6620000,25,0
249,688,120000,6625000,25,0
250,823,120000,6630000,25,0
251,958,120000,6635000,25,0
252,1093,120000,6640000,25,0
253,1228,120000,6645000,25,0
254,1363,120000,6650000,25,0
255,1498,120000,6655000,25,0
256,1633,120000,6660000,25,0
257,1768,120000,6665000,25,0
258,1903,120000,6670000,25,0
259,2038,120000,6675000,25,0
260,2173,120000,6680000,25,0
261,2308,120000,6685000,25,0
262,2443,120000,6690000,25,0
263,2578,120000,6695000,25,0
264,2713,120000,6700000,25,0
265,2848,120000,6705000,25,0
266,2983,120000,6710000,25,0
267,3118,120000,6715000,25,0
268,3253,120000,6720000,25,0
269,3388,120000,6725000,25,0
270,3523,120000,6730000,25,0
271,3658,120000,6735000,25,0
272,3793,120000,6740000,25,0
273,3928,120000,6745000,25,0
274,4063,120000,6750000,21,0
275,4198,120000,6755000,1,0
276,149,125000,6605000,7,0
277,284,125000,6610000,25,0
278,419,125000,6615000,25,0
279,554,125000,6620000,25,0
280,689,125000,6625000,25,0
281,824,125000,6630000,25,0
282,959,125000,6635000,25,0
283,1094,125000,6640000,25,0
284,1229,125000,6645000,25,0
285,1364,125000,6650000,25,0
286,1499,125000,6655000,25,0
287,1634,125000,6660000,25,0
288,1769,125000,6665000,25,0
289,1904,125000,6670000,25,0
290,2039,125000,6675000,25,0
291,2174,125000,6680000,25,0
292,2309,125000,6685000,25,0
293,2444,125000,6690000,25,0
294,2579,125000,6695000,25,0
295,2714,125000,6700000,25,0
296,2849,125000,6705000,25,0
297,2984,125000,6710000,25,0
298,3119,125000,6715000,25,0
299,3254,125000,6720000,25,0
300,3389,125000,6725000,25,0
301,3524,125000,6730000,25,0
302,3659,125000,6735000,25,0
303,3794,125000,6740000,25,0
304,3929,125000,6745000,25,0
305,4064,125000,6750000,25,0
306,4199,125000,6755000,13,0
307,285,130000,6610000,24,0
308,420,130000,6615000,25,0
309,555,130000,6620000,25,0
310,690,130000,6625000,25,0
311,825,130000,6630000,25,0
312,960,130000,6635000,25,0
313,1095,130000,6640000,25,0
314,1230,130000,6645000,25,0
315,1365,130000,6650000,25,0
316,1500,130000,6655000,25,0
317,1635,130000,6660000,25,0
318,1770,130000,6665000,25,0
319,1905,130000,6670000,25,0
320,2040,130000,6675000,25,0
321,2175,130000,6680000,25,0
322,2310,130000,6685000,25,0
323,2445,130000,6690000,25,0
324,2580,130000,6695000,25,0
325,2715,130000,6700000,25,0
326,2850,130000,6705000,25,0
327,2985,130000,6710000,25,0
328,3120,130000,6715000,25,0
329,3255,130000,6720000,25,0
330,3390,130000,6725000,25,0
331,3525,130000,6730000,25,0
332,3660,130000,6735000,25,0
333,3795,130000,6740000,25,0
334,3930,130000,6745000,25,0
335,4065,130000,6750000,25,0
336,4200,130000,6755000,25,0
337,4335,130000,6760000,7,0
338,286,135000,6610000,18,0
339,421,135000,6615000,25,0
340,556,135000,6620000,25,0
341,691,135000,6625000,25,0
342,826,135000,6630000,25,0
343,961,135000,6635000,25,0
344,1096,135000,6640000,25,0
345,1231,135000,6645000,25,0
346,1366,135000,6650000,25,0
347,1501,135000,6655000,25,0
348,1636,135000,6660000,25,0
349,1771,135000,6665000,25,0
350,1906,135000,6670000,25,0
351,2041,135000,6675000,25,0
352,2176,135000,6680000,25,0
353,2311,135000,6685000,25,0
354,2446,135000,6690000,25,0
355,2581,135000,6695000,25,0
356,2716,135000,6700000,25,0
357,2851,135000,6705000,25,0
358,2986,135000,6710000,25,0
359,3121,135000,6715000,25,0
360,3256,135000,6720000,25,0
361,3391,135000,6725000,25,0
362,3526,135000,6730000,25,0
363,3661,135000,6735000,25,0
364,3796,135000,6740000,25,0
365,3931,135000,6745000,25,0
366,4066,135000,6750000,25,0
367,4201,135000,6755000,25,0
368,4336,135000,6760000,22,0
369,4471,135000,6765000,1,0
370,287,140000,6610000,11,0
371,422,140000,6615000,25,0
372,557,140000,6620000,25,0
373,692,140000,6625000,25,0
374,827,140000,6630000,25,0
375,962,140000,6635000,25,0
376,1097,140000,6640000,25,0
377,1232,140000,6645000,25,0
378,1367,140000,6650000,25,0
379,1502,140000,6655000,25,0
380,1637,140000,6660000,25,0
381,1772,140000,6665000,25,0
382,1907,140000,6670000,25,0
383,2042,140000,6675000,25,0
384,2177,140000,6680000,25,0
385,2312,140000,6685000,25,0
386,2447,140000,6690000,25,0
387,2582,140000,6695000,25,0
388,2717,140000,6700000,25,0
389,2852,140000,6705000,25,0
390,2987,140000,6710000,25,0
391,3122,140000,6715000,25,0
392,3257,140000,6720000,25,0
393,3392,140000,6725000,25,0
394,3527,140000,6730000,25,0
395,3662,140000,6735000,25,0
396,3797,140000,6740000,25,0
397,3932,140000,6745000,25,0
398,4067,140000,6750000,25,0
399,4202,140000,6755000,25,0
400,4337,140000,6760000,25,0
