nro,manner,tilastointialueet:hila5km_linkki_kun2024,vaestoruutu:vaki2023_5km_vaesto
2431,0,43,
2566,0,43,
2701,0,43,
2836,0,43,
2162,0,43,
2297,0,43,
2432,0,43,
2567,0,43,
2702,0,43,
2837,0,43,
2972,0,43,
3107,0,43,
3242,0,43,
3377,0,43,
2028,0,76,
2163,0,43,
2298,0,43,
2433,0,43,
2568,0,43,
2703,0,43,
2838,0,43,
2973,0,43,
3108,0,43,
3243,0,43,
3378,0,43,
3513,0,43,
3648,0,43,
3783,0,43,
1759,0,170,
1894,0,76,
2029,0,76,
2164,0,43,
2299,0,43,
2434,0,43,
2569,0,43,
2704,0,43,
2839,0,43,
2974,0,43,
3109,0,43,
3244,0,43,
3379,0,43,
3514,0,43,
3649,0,76,
3784,0,76,
3919,0,76,
1490,0,170,
1625,0,170,
1760,0,170,
1895,0,170,
2030,0,76,
2165,0,76,
2300,0,43,
2435,0,43,
2570,0,43,
2705,0,43,
2840,0,43,1
2975,0,43,
3110,0,43,
3245,0,43,
3380,0,76,
3515,0,76,
3650,0,76,
3785,0,76,
3920,0,76,
1221,0,417,
1356,0,170,
1491,0,170,
1626,0,170,
1761,0,170,
1896,0,170,
2031,0,170,
2166,0,76,
2301,0,43,
2436,0,43,58
2571,0,43,427
2706,0,43,89
2841,0,43,
2976,0,43,
3111,0,43,
3246,0,76,
3381,0,76,
3516,0,76,
3651,0,76,
3786,0,76,
3921,0,76,
952,0,417,
1087,0,417,
1222,0,417,
1357,0,417,
1492,0,170,
1627,0,170,
1762,0,170,
1897,0,170,
2032,0,170,
2167,0,170,
2302,0,76,
2437,0,43,30
2572,0,43,326
2707,0,43,21
2842,0,43,38
2977,0,43,
3112,0,43,
3247,0,76,
3382,0,76,
3517,0,76,
3652,0,76,
3787,0,65,
3922,0,65,
4057,0,65,
818,0,417,
953,0,417,
1088,0,417,
1223,0,417,
1358,0,417,
1493,0,417,
1628,0,417,
1763,0,170,
1898,0,170,
2033,0,170,
2168,0,170,25
2303,0,170,66
2438,0,76,147
2573,0,76,846
2708,0,76,233
2843,0,76,20
2978,0,76,4
3113,0,76,
3248,0,65,
3383,0,65,
3518,0,65,
3653,0,65,
3788,0,65,
3923,0,65,
4058,0,65,
684,0,62,
819,0,417,
954,0,417,
1089,0,417,
1224,0,417,
1359,0,417,
1494,0,417,
1629,0,417,
1764,0,417,
1899,0,170,
2034,0,170,
2169,0,170,287
2304,0,170,581
2439,0,76,236
2574,0,60,234
2709,0,60,82
2844,0,76,68
2979,0,65,99
3114,0,65,44
3249,0,65,
3384,0,65,
3519,0,65,
3654,0,65,
3789,0,65,
3924,0,65,
4059,0,65,
550,0,62,
685,0,62,
820,0,62,
955,0,417,
1090,0,417,
1225,0,417,
1360,0,417,
1495,0,417,
1630,0,417,
1765,0,417,
1900,0,417,106
2035,0,417,260
2170,0,478,9013
2305,0,170,5109
2440,0,170,677
2575,0,60,221
2710,0,60,372
2845,0,60,219
2980,0,65,328
3115,0,65,3
3250,0,65,
3385,0,65,
3520,0,65,
3655,0,65,
3790,0,65,
3925,0,65,
4060,0,736,
416,0,62,
551,0,62,
686,0,62,
821,0,62,
956,0,62,
1091,0,62,
1226,0,417,
1361,0,417,
1496,0,417,
1631,0,417,
1766,0,417,
1901,0,417,27
2036,0,417,208
2171,0,417,923
2306,0,170,612
2441,0,170,219
2576,0,60,1441
2711,0,736,259
2846,0,736,601
2981,0,60,120
3116,0,65,15
3251,0,736,
3386,0,736,
3521,0,736,
3656,0,736,
3791,0,736,
3926,0,736,
4061,0,736,
282,0,62,
417,0,62,
552,0,62,
687,0,62,
822,0,62,
957,0,62,
1092,0,62,
1227,0,62,
1362,0,62,
1497,0,62,
1632,0,62,
1767,0,417,5
1902,0,417,223
2037,0,417,627
2172,0,417,162
2307,0,170,
2442,0,771,46
2577,0,771,361
2712,0,736,452
2847,0,736,160
2982,0,736,62
3117,0,736,
3252,0,736,
3387,0,736,
3522,0,736,
3657,0,736,
3792,0,736,
3927,0,736,
4062,0,736,
148,0,318,
283,0,318,
418,0,62,
553,0,62,
688,0,62,
823,0,62,
958,0,62,
1093,0,62,
1228,0,62,
1363,0,62,
1498,0,62,
1633,0,62,
1768,0,62,19
1903,0,417,38
2038,0,417,167
2173,0,438,46
2308,0,438,38
2443,0,771,96
2578,0,771,281
2713,0,771,128
2848,0,736,47
2983,0,736,7
3118,0,736,
3253,0,736,
3388,0,736,
3523,0,736,
3658,0,736,
3793,0,736,
3928,0,736,
4063,0,736,
4198,0,736,
149,0,318,
284,0,318,
419,0,318,
554,0,62,
689,0,62,
824,0,62,
959,0,62,
1094,0,62,
1229,0,62,
1364,0,62,
1499,0,62,
1634,0,62,
1769,0,62,17
1904,0,62,13
2039,0,62,29
2174,0,438,183
2309,0,438,63
2444,0,941,150
2579,0,771,47
2714,0,771,33
2849,0,736,5
2984,0,736,
3119,0,736,
3254,0,736,
3389,0,736,
3524,0,736,
3659,0,736,
3794,0,736,
3929,0,736,
4064,0,295,
4199,0,295,
285,0,318,
420,0,318,
555,0,318,
690,0,318,
825,0,62,
960,0,62,
1095,0,62,
1230,0,62,
1365,0,62,
1500,0,62,
1635,0,62,
1770,0,62,8
1905,0,62,191
2040,0,62,
2175,0,62,
2310,0,941,7
2445,0,941,36
2580,0,941,254
2715,0,941,31
2850,0,941,32
2985,0,941,
3120,0,941,
3255,0,736,
3390,0,736,
3525,0,736,
3660,0,736,
3795,0,736,
3930,0,295,
4065,0,295,
4200,0,35,
4335,0,35,
286,0,318,
421,0,318,
556,0,318,
691,0,318,
826,0,318,
961,0,62,
1096,0,62,
1231,0,62,
1366,0,62,
1501,0,62,
1636,0,62,
1771,0,62,6
1906,0,62,104
2041,0,62,37
2176,0,62,5
2311,0,941,
2446,0,941,
2581,0,941,1
2716,0,941,3
2851,0,941,8
2986,0,941,
3121,0,941,
3256,0,295,
3391,0,295,
3526,0,295,
3661,0,295,
3796,0,295,
3931,0,295,
4066,0,35,
4201,0,35,
4336,0,35,
4471,0,35,
287,0,318,
422,0,318,
557,0,318,
692,0,318,
827,0,318,
962,0,318,
1097,0,318,
1232,0,62,
1367,0,62,
1502,0,62,
1637,0,62,
1772,0,62,
1907,0,62,75
2042,0,62,29
2177,0,62,6
2312,0,766,
2447,0,766,
2582,0,941,
2717,0,941,
2852,0,941,
2987,0,941,
3122,0,941,
3257,0,35,
3392,0,35,
3527,0,295,
3662,0,295,
3797,0,295,
3932,0,35,
4067,0,35,
4202,0,35,
4337,0,35,
4472,0,304,
4607,0,895,
423,0,318,
558,0,318,
693,0,318,
828,0,318,
963,0,318,
1098,0,318,
1233,0,318,
1368,0,62,
1503,0,62,
1638,0,62,
1773,0,766,
1908,0,766,
2043,0,766,
2178,0,766,101
2313,0,766,
2448,0,295,
2583,0,295,
2718,0,941,
2853,0,941,
2988,0,295,
3123,0,295,
3258,0,35,
3393,0,35,
3528,0,35,
3663,0,35,
3798,0,35,
3933,0,35,
4068,0,35,
4203,0,35,
4338,0,304,
4473,0,304,
4608,0,895,
4743,0,895,
289,0,318,
424,0,318,
559,0,318,
694,0,318,
829,0,318,
964,0,318,
1099,0,318,
1234,0,318,
1369,0,318,
1504,0,318,
1639,0,318,
1774,0,766,
1909,0,766,1
2044,0,766,3
2179,0,766,
2314,0,295,5
2449,0,295,41
2584,0,295,11
2719,0,295,7
2854,0,295,
2989,0,295,
3124,0,295,
3259,0,35,
3394,0,35,
3529,0,35,
3664,0,35,
3799,0,35,
3934,0,35,
4069,0,35,
4204,0,304,
4339,0,304,
4474,0,895,
4609,0,895,
4744,0,895,
4879,0,895,
290,0,318,
425,0,318,
560,0,318,
695,0,318,
830,0,318,
965,0,318,
1100,0,318,
1235,0,318,
1370,0,318,
1505,0,318,81
1640,0,318,16
1775,0,318,
1910,0,318,8
2045,0,766,5
2180,0,295,
2315,0,295,
2450,0,295,2
2585,0,295,152
2720,0,295,22
2855,0,295,36
2990,0,295,
3125,0,35,
3260,0,35,
3395,0,35,
3530,0,35,
3665,0,35,
3800,0,35,
3935,0,35,
4070,1,304,
4205,0,304,
4340,0,895,
4475,0,895,
4610,0,895,
4745,0,895,
4880,0,895,
5015,0,895,
10685,0,475,
10820,0,475,
10955,0,475,
11090,0,475,
11225,0,475,
11360,0,475,
11495,0,475,
291,0,318,
426,0,318,
561,0,318,
696,0,318,
831,0,318,
966,0,318,
1101,0,318,
1236,0,318,
1371,0,318,4
1506,0,318,61
1641,0,318,51
1776,0,318,
1911,0,318,
2046,0,766,
2181,0,766,
2316,0,35,
2451,0,35,
2586,0,295,
2721,0,295,7
2856,0,295,
2991,0,35,
3126,0,35,
3261,0,35,
3396,0,35,
3531,0,35,
3666,0,35,
3801,0,35,
3936,0,35,
4071,0,304,
4206,0,304,
4341,0,895,
4476,0,895,
4611,0,895,
4746,0,895,
4881,0,895,
5016,0,895,
5151,0,895,
9876,0,280,
10011,0,280,
10146,0,280,
10281,0,280,
10416,0,280,
10551,0,280,
10686,0,475,
10821,0,475,
10956,0,475,
11091,0,475,
11226,0,475,
11361,0,475,
11496,0,475,
11631,0,475,
292,0,318,
427,0,318,
562,0,318,
697,0,318,
832,0,318,
967,0,318,
1102,0,318,
1237,0,318,
1372,0,318,
1507,0,318,
1642,0,318,
1777,0,318,
1912,0,318,
2047,0,766,
2182,0,35,
2317,0,35,
2452,0,35,
2587,0,35,
2722,0,35,42
2857,0,295,
2992,0,35,24
3127,0,35,20
3262,0,35,
3397,0,35,
3532,0,35,
3667,0,35,
3802,0,35,
3937,0,304,
4072,0,304,
4207,0,895,
4342,0,895,
4477,0,895,
4612,0,895,
4747,0,895,
4882,0,895,
5017,0,895,
5152,0,684,
5287,0,684,
5422,0,684,
5557,0,684,
5692,0,51,
5827,0,51,
9202,0,545,
9337,0,545,
9472,0,545,
9607,0,545,
9742,0,545,
9877,0,280,
10012,0,280,
10147,0,280,
10282,0,280,
10417,0,280,
10552,0,280,
10687,0,475,
10822,0,475,
10957,0,475,
11092,0,475,
11227,0,475,
11362,0,475,
11497,0,475,
11632,0,499,
11767,0,499,
158,0,445,
293,0,445,
428,0,318,
563,0,318,
698,0,318,
833,0,318,
968,0,318,
1103,0,318,
1238,0,318,
1373,0,318,
1508,0,318,
1643,0,318,
1778,0,318,
1913,0,318,
2048,1,445,
2183,1,445,
2318,1,445,
2453,0,35,
2588,0,35,2
2723,0,35,11
2858,0,35,73
2993,0,35,123
3128,0,35,73
3263,0,35,17
3398,0,35,
3533,0,35,
3668,0,35,
3803,0,35,
3938,1,304,
4073,1,895,
4208,0,895,
4343,1,895,
4478,0,895,
4613,0,895,
4748,0,895,
4883,0,895,
5018,0,895,
5153,0,684,
5288,0,684,
5423,0,684,
5558,0,684,
5693,0,51,
5828,0,51,
5963,0,51,
6098,0,51,
6233,0,51,
6368,0,51,
8123,0,287,
8258,0,287,
8393,0,545,
8528,0,545,
8663,0,231,
8798,0,545,
8933,0,545,
9068,0,545,
9203,0,545,
9338,0,545,
9473,0,545,
9608,0,545,
9743,0,545,
9878,0,280,
10013,0,280,
10148,0,280,
10283,0,280,
10418,0,280,
10553,0,280,
10688,0,475,
10823,0,475,
10958,0,475,
11093,0,475,
11228,0,475,
11363,0,475,
11498,0,475,
11633,0,499,
11768,0,499,
11903,0,499,
159,0,445,
294,0,445,
429,0,445,
564,0,445,
699,0,445,
834,0,445,
969,0,318,
1104,0,318,
1239,0,318,
1374,0,318,
1509,0,318,
1644,1,445,
1779,1,445,
1914,1,445,
2049,1,445,
2184,1,445,
2319,1,445,
2454,1,445,
2589,1,445,
2724,1,445,8
2859,1,445,4
2994,1,445,
3129,0,35,19
3264,0,35,23
3399,0,35,
3534,1,304,
3669,1,304,
3804,1,304,
3939,1,304,
4074,1,895,
4209,1,895,
4344,1,895,
4479,1,895,
4614,0,895,
4749,0,895,
4884,0,895,
5019,0,631,
5154,0,684,
5289,0,684,
5424,0,684,
5559,0,684,
5694,0,51,
5829,0,51,
5964,0,51,
6099,0,51,
6234,0,51,
6369,0,609,
6504,0,609,
6639,0,609,
6774,0,609,
6909,0,484,
7044,0,484,
