name,type,lat,lon
Helsinki,E,383000,6674000
Espoo,E,371000,6678000
Lohja,E,334000,6680000
Vantaa,E,392000,6689000
Porvoo,E,428000,6694000
Kotka,E,495000,6704000
Turku,E,241000,6711000
Hyvinkää,E,381000,6721000
Lahti,E,422000,6762000
Hämeenlinna,E,360000,6764000
Lappeenranta,E,564000,6769000
Tampere,E,330000,6823000
Pori,E,222000,6826000
Mikkeli,E,514000,6840000
Savonlinna,E,597000,6861000
Jyväskylä,E,432000,6900000
Joensuu,E,642000,6943000
Seinäjoki,E,286000,6967000
Kuopio,E,532000,6974000
Vaasa,E,228000,7006000
Kokkola,E,308000,7085000
Kajaani,E,535000,7121000
Oulu,E,430000,7210000
Kemi,E,387000,7292000
Rovaniemi,E,445000,7375000
